run_accession,bioproject_accession,biosample_accession,sample_accession,total_bases,total_spots,published,platform,instrument_model,library_strategy,library_source,organism,center_name,organization_name,institution,geo_loc_name,file_size_mb,source,published_dt,year,is_saudi_submitter,is_pathogen,is_wgs,is_genomic,is_complete_genome
SRR40087749,PRJNA1502585,SAMN62283915,SRS30283858,10010788694.0,34348412.0,2026-08-09 09:37:52,ILLUMINA,Illumina NovaSeq 6000,RNA-Seq,METATRANSCRIPTOMIC,activated sludge metagenome,KAUST,KAUST,KAUST,Saudi Arabia: Thuwal,3867.912757873535,NCBI,2026-08-09 09:37:52,2026,True,False,False,False,False
SRR17393405,PRJNA755949,SAMN20846936,SRS10459727,6053707780.0,20045390.0,2021-12-31 06:41:54,ILLUMINA,Illumina HiSeq 4000,RNA-Seq,TRANSCRIPTOMIC,Prochlorococcus,KAUST,KAUST,KAUST,Saudi Arabia,2311.487260818481,NCBI,2021-12-31 06:41:54,2021,True,False,False,False,False
SRR17393404,PRJNA755949,SAMN20846936,SRS10459727,5835601870.0,19323185.0,2021-12-31 06:41:54,ILLUMINA,Illumina HiSeq 4000,RNA-Seq,TRANSCRIPTOMIC,Prochlorococcus,KAUST,KAUST,KAUST,Saudi Arabia,2256.509196281433,NCBI,2021-12-31 06:41:54,2021,True,False,False,False,False
SRR17393403,PRJNA755949,SAMN20846936,SRS10459727,6033580990.0,19978745.0,2021-12-31 06:41:54,ILLUMINA,Illumina HiSeq 4000,RNA-Seq,TRANSCRIPTOMIC,Prochlorococcus,KAUST,KAUST,KAUST,Saudi Arabia,2310.286784172058,NCBI,2021-12-31 06:41:54,2021,True,False,False,False,False
SRR17393402,PRJNA755949,SAMN20846936,SRS10459727,6617339138.0,21911719.0,2021-12-31 06:41:54,ILLUMINA,Illumina HiSeq 4000,RNA-Seq,TRANSCRIPTOMIC,Prochlorococcus,KAUST,KAUST,KAUST,Saudi Arabia,2517.6121253967285,NCBI,2021-12-31 06:41:54,2021,True,False,False,False,False
SRR17393401,PRJNA755949,SAMN20846936,SRS10459727,4956237666.0,16411383.0,2021-12-31 06:41:54,ILLUMINA,Illumina HiSeq 4000,RNA-Seq,TRANSCRIPTOMIC,Prochlorococcus,KAUST,KAUST,KAUST,Saudi Arabia,1997.960431098938,NCBI,2021-12-31 06:41:54,2021,True,False,False,False,False
SRR17393400,PRJNA755949,SAMN20846936,SRS10459727,6201065660.0,20533330.0,2021-12-31 06:41:54,ILLUMINA,Illumina HiSeq 4000,RNA-Seq,TRANSCRIPTOMIC,Prochlorococcus,KAUST,KAUST,KAUST,Saudi Arabia,2495.2333574295044,NCBI,2021-12-31 06:41:54,2021,True,False,False,False,False
SRR17393399,PRJNA755949,SAMN20846936,SRS10459727,6545238752.0,21672976.0,2021-12-31 06:41:54,ILLUMINA,Illumina HiSeq 4000,RNA-Seq,TRANSCRIPTOMIC,Prochlorococcus,KAUST,KAUST,KAUST,Saudi Arabia,2625.013953208924,NCBI,2021-12-31 06:41:54,2021,True,False,False,False,False
SRR17393398,PRJNA755949,SAMN20846936,SRS10459727,5313400080.0,17594040.0,2021-12-31 06:41:54,ILLUMINA,Illumina HiSeq 4000,RNA-Seq,TRANSCRIPTOMIC,Prochlorococcus,KAUST,KAUST,KAUST,Saudi Arabia,2117.5609283447266,NCBI,2021-12-31 06:41:54,2021,True,False,False,False,False
SRR17393397,PRJNA755949,SAMN20846936,SRS10459727,5557562550.0,18402525.0,2021-12-31 06:41:54,ILLUMINA,Illumina HiSeq 4000,RNA-Seq,TRANSCRIPTOMIC,Prochlorococcus,KAUST,KAUST,KAUST,Saudi Arabia,2233.9255418777466,NCBI,2021-12-31 06:41:54,2021,True,False,False,False,False
